entry_time,exit_time,side,entry_price,exit_price,pnl,reason,system,held_bars
2025-11-05 03:45:00,,SHORT,25503.5,25467.25,725.0,target,VWAP Reversion,
2025-11-05 04:10:00,,SHORT,25473.0,25461.5,230.0,target,VWAP Reversion,
2025-11-05 04:20:00,,SHORT,25475.25,25453.25,440.0,target,VWAP Reversion,
2025-11-05 04:55:00,,SHORT,25465.25,25503.0,-755.0,stop,VWAP Reversion,
2025-11-05 05:00:00,2025-11-05 05:25:00,LONG,25474.25,25515.38,822.68,be_stop,OTE+BOS,
2025-11-05 05:10:00,,SHORT,25524.75,25499.0,515.0,target,VWAP Reversion,
2025-11-05 05:15:00,2025-11-05 05:40:00,LONG,25526.75,25503.77,-459.64,stop,Layer I,
2025-11-05 05:45:00,,SHORT,25472.25,25498.0,-515.0,stop,VWAP Reversion,
2025-11-05 06:10:00,,SHORT,25505.0,25552.25,-945.0,stop,VWAP Reversion,
2025-11-05 06:20:00,,SHORT,25537.75,25518.0,395.0,target,VWAP Reversion,
2025-11-05 07:05:00,,SHORT,25506.5,25488.5,360.0,target,VWAP Reversion,
2025-11-05 07:15:00,,SHORT,25478.25,25501.75,-470.0,stop,VWAP Reversion,
2025-11-05 07:55:00,,SHORT,25473.75,25520.5,-935.0,stop,VWAP Reversion,
2025-11-05 08:10:00,,SHORT,25522.5,25512.0,210.0,target,VWAP Reversion,
2025-11-05 08:20:00,,SHORT,25511.75,25545.0,-665.0,stop,VWAP Reversion,
2025-11-05 09:10:00,,SHORT,25518.5,25508.25,205.0,target,VWAP Reversion,
2025-11-05 09:20:00,,SHORT,25508.75,25487.5,425.0,target,VWAP Reversion,
2025-11-05 09:35:00,,SHORT,25505.5,25494.75,215.0,target,VWAP Reversion,
2025-11-05 10:30:00,,SHORT,25490.5,25484.5,120.0,target,VWAP Reversion,
2025-11-05 10:40:00,,SHORT,25485.5,25477.25,165.0,target,VWAP Reversion,
2025-11-05 10:50:00,2025-11-05 10:55:00,LONG,25439.5,25421.62,-357.5,real_dollar_stop,Z-Score MR v2,1.0
2025-11-05 11:00:00,2025-11-05 12:05:00,LONG,25428.25,25488.5,1205.0,reverted,Z-Score MR v2,13.0
2025-11-05 11:55:00,,SHORT,25481.75,25465.5,325.0,target,VWAP Reversion,
2025-11-05 12:05:00,,SHORT,25488.5,25478.25,205.0,target,VWAP Reversion,
2025-11-05 12:15:00,,SHORT,25503.0,25525.0,-440.0,stop,VWAP Reversion,
2025-11-05 12:25:00,2025-11-05 12:35:00,SHORT,25504.0,25524.16,-403.21,stop,OTE+BOS,
2025-11-05 12:40:00,,SHORT,25531.0,25502.75,565.0,target,VWAP Reversion,
2025-11-05 12:50:00,,SHORT,25509.0,25529.0,-400.0,stop,VWAP Reversion,
2025-11-05 13:00:00,,SHORT,25534.0,25514.0,400.0,target,VWAP Reversion,
2025-11-05 13:10:00,,SHORT,25520.0,25562.75,-855.0,stop,VWAP Reversion,
2025-11-05 13:25:00,2025-11-05 13:40:00,SHORT,25562.75,25583.71,-419.29,real_dollar_stop,Z-Score MR v2,3.0
2025-11-05 13:30:00,,SHORT,25544.0,25570.5,-530.0,stop,VWAP Reversion,
2025-11-05 13:40:00,,SHORT,25590.75,25566.0,495.0,target,VWAP Reversion,
2025-11-05 13:45:00,2025-11-05 14:30:00,SHORT,25594.5,25501.5,1860.0,reverted,Z-Score MR v2,9.0
2025-11-05 14:05:00,,SHORT,25574.0,25559.75,285.0,target,VWAP Reversion,
2025-11-05 14:20:00,,SHORT,25554.0,25541.75,245.0,target,VWAP Reversion,
2025-11-05 14:35:00,,SHORT,25554.5,25526.25,565.0,target,VWAP Reversion,
2025-11-05 16:55:00,,SHORT,25774.25,25752.25,440.0,target,VWAP Reversion,
2025-11-05 17:10:00,,SHORT,25766.25,25802.25,-720.0,stop,VWAP Reversion,
2025-11-05 17:35:00,,SHORT,25818.0,25856.0,-760.0,stop,VWAP Reversion,
2025-11-05 18:40:00,,SHORT,25856.75,25818.25,770.0,target,VWAP Reversion,
2025-11-05 20:35:00,,SHORT,25815.5,25793.5,440.0,target,VWAP Reversion,
2025-11-05 20:50:00,,SHORT,25780.5,25741.0,790.0,target,VWAP Reversion,
2025-11-05 20:55:00,2025-11-05 21:10:00,LONG,25741.0,25718.95,-441.07,real_dollar_stop,Z-Score MR v2,3.0
2025-11-05 21:00:00,,SHORT,25751.0,25729.0,440.0,target,VWAP Reversion,
2025-11-05 21:10:00,,SHORT,25704.75,25733.25,-570.0,stop,VWAP Reversion,
2025-11-05 21:15:00,2025-11-06 00:20:00,LONG,25727.25,25699.71,-550.71,real_dollar_stop,Z-Score MR v2,25.0
2025-11-05 21:25:00,,SHORT,25720.0,25771.25,-1025.0,stop,VWAP Reversion,
2025-11-05 23:45:00,,SHORT,25756.75,25742.5,285.0,target,VWAP Reversion,
2025-11-06 00:20:00,,LONG,25682.25,25710.0,555.0,target,VWAP Reversion,
2025-11-06 00:25:00,2025-11-06 00:35:00,SHORT,25671.5,25696.77,-505.36,stop,Layer I,
2025-11-06 00:55:00,2025-11-06 01:05:00,SHORT,25699.25,25666.75,650.0,target,Layer I,
2025-11-06 01:15:00,2025-11-06 01:25:00,SHORT,25661.75,25629.25,650.0,target,Layer I,
2025-11-06 01:25:00,,LONG,25629.5,25646.0,330.0,target,VWAP Reversion,
2025-11-06 01:25:00,2025-11-06 02:40:00,LONG,25629.5,25702.0,1450.0,reverted,Z-Score MR v2,15.0
2025-11-06 03:05:00,,SHORT,25723.0,25717.0,120.0,target,VWAP Reversion,
2025-11-06 03:45:00,,SHORT,25730.5,25711.0,390.0,target,VWAP Reversion,
2025-11-06 04:15:00,,SHORT,25733.25,25725.0,165.0,target,VWAP Reversion,
2025-11-06 04:35:00,2025-11-06 04:45:00,LONG,25734.0,25729.25,-95.0,signal_invalidated,Layer I,
2025-11-06 05:20:00,,SHORT,25735.75,25725.0,215.0,target,VWAP Reversion,
2025-11-06 06:55:00,2025-11-06 07:20:00,LONG,25682.75,25708.75,520.0,reverted,Z-Score MR v2,5.0
2025-11-06 07:30:00,2025-11-06 08:00:00,LONG,25663.75,25645.66,-361.79,real_dollar_stop,Z-Score MR v2,6.0
2025-11-06 07:50:00,,LONG,25646.0,25656.5,210.0,target,VWAP Reversion,
2025-11-06 07:55:00,2025-11-06 08:40:00,SHORT,25646.5,25656.5,-200.0,signal_invalidated,Layer I,
2025-11-06 08:05:00,2025-11-06 09:00:00,LONG,25646.0,25690.75,895.0,reverted,Z-Score MR v2,11.0
2025-11-06 09:15:00,,SHORT,25734.25,25725.75,170.0,target,VWAP Reversion,
