strategy,entry_time,exit_time,side,entry_price,stop_price,target_price,exit_reason,pnl_points,pnl_dollars_1x,result,entry_price_nq,exit_price_nq,entry_price_es,exit_price_es,hedge_ratio,pnl_dollars_3x,pnl_dollars_5x
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 10:10:00+00:00,,SHORT,25161.75,25210.0,25103.85,,,-969.0,LOSS,,,,,,-2907.0,-4845.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 10:35:00+00:00,,LONG,25191.0,25170.75,25215.3,,,-409.0,LOSS,,,,,,-1227.0,-2045.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 10:55:00+00:00,,SHORT,25207.5,25216.5,25196.7,,,-184.0,LOSS,,,,,,-552.0,-920.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 11:10:00+00:00,,LONG,25216.25,25202.5,25232.75,,,326.0,WIN,,,,,,978.0,1630.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 11:20:00+00:00,,SHORT,25234.75,25245.5,25221.85,,,-219.0,LOSS,,,,,,-657.0,-1095.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 11:50:00+00:00,,LONG,25235.5,25220.0,25254.1,,,-314.0,LOSS,,,,,,-942.0,-1570.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 12:00:00+00:00,,SHORT,25237.5,25247.5,25225.5,,,-204.0,LOSS,,,,,,-612.0,-1020.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 12:05:00+00:00,,SHORT,25262.25,25272.25,25250.25,,,-204.0,LOSS,,,,,,-612.0,-1020.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 12:05:00+00:00,,LONG,25262.25,25237.0,25292.55,,,-509.0,LOSS,,,,,,-1527.0,-2545.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 12:15:00+00:00,,LONG,25252.0,25246.75,25258.3,,,122.0,WIN,,,,,,366.0,610.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 13:05:00+00:00,,LONG,25242.0,25235.0,25250.4,,,164.0,WIN,,,,,,492.0,820.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 13:25:00+00:00,,SHORT,25238.0,25247.0,25227.2,,,-184.0,LOSS,,,,,,-552.0,-920.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 13:40:00+00:00,,LONG,25342.25,25256.25,25445.45,,,2060.0,WIN,,,,,,6180.0,10300.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 14:10:00+00:00,,LONG,25419.25,25394.75,25448.65,,,-494.0,LOSS,,,,,,-1482.0,-2470.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 14:15:00+00:00,,SHORT,25413.0,25430.5,25392.0,,,-354.0,LOSS,,,,,,-1062.0,-1770.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 14:30:00+00:00,,LONG,25385.25,25343.25,25435.65,,,-844.0,LOSS,,,,,,-2532.0,-4220.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 15:10:00+00:00,,LONG,25188.25,25173.5,25205.95,,,-299.0,LOSS,,,,,,-897.0,-1495.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 15:15:00+00:00,,SHORT,25133.25,25189.0,25066.35,,,1334.0,WIN,,,,,,4002.0,6670.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 15:45:00+00:00,,SHORT,25144.25,25239.0,25030.55,,,-1899.0,LOSS,,,,,,-5697.0,-9495.0
Trend Following,2026-02-11 15:45:00+00:00,2026-02-11 17:25:00+00:00,SHORT,25144.25,25285.36,24720.93,STOP,-141.11,-2826.14,LOSS,,,,,,-8478.42,-14130.7
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 15:45:00+00:00,,LONG,25144.25,25132.5,25158.35,,,278.0,WIN,,,,,,834.0,1390.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 15:50:00+00:00,,SHORT,25260.5,25277.5,25240.1,,,404.0,WIN,,,,,,1212.0,2020.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 16:00:00+00:00,,LONG,25208.5,25201.5,25216.9,,,-144.0,LOSS,,,,,,-432.0,-720.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 16:25:00+00:00,,SHORT,25193.0,25240.0,25136.6,,,-944.0,LOSS,,,,,,-2832.0,-4720.0
"FVG Rejection (1.2R, WR-optimized)",2026-02-11 16:35:00+00:00,,LONG,25225.5,25215.0,25238.1,,,-214.0,LOSS,,,,,,-642.0,-1070.0
